label,pattern,replace,language
fruit_type_term,drupe composée,drupe,french
fruit_type_term,drupes,drupe,french
fruit_type_term,drupes agrégées,drupe,french
fruit_type_term,drupes composées,drupe,french
fruit_type_term,drupéole,drupe,french
fruit_type_term,drupéoles,drupe,french
fruit_type_term,drupéta,drupe,french
fruit_type_term,drupétum,drupe,french
fruit_type_term,fruit drupacé,drupe,french
fruit_type_term,fruits drupacés,drupe,french
fruit_type_term,pseudodrupe,drupe,french
fruit_type_term,pseudodrupes,drupe,french
fruit_type_term,follicule,follicle,french
fruit_type_term,follicules,follicle,french
fruit_type_term,cône,gymnosperm_cone,french
fruit_type_term,cône ovulifère,gymnosperm_cone,french
fruit_type_term,cône pollinifère,gymnosperm_cone,french
fruit_type_term,cône séminifère,gymnosperm_cone,french
fruit_type_term,cônes,gymnosperm_cone,french
fruit_type_term,cônes ovulifères,gymnosperm_cone,french
fruit_type_term,cônes pollinifères,gymnosperm_cone,french
fruit_type_term,cônes séminifères,gymnosperm_cone,french
fruit_type_term,microstrobile,gymnosperm_cone,french
fruit_type_term,microstrobiles,gymnosperm_cone,french
fruit_type_term,mégastrobile,gymnosperm_cone,french
fruit_type_term,mégastrobiles,gymnosperm_cone,french
fruit_type_term,strobile,gymnosperm_cone,french
fruit_type_term,strobiles,gymnosperm_cone,french
fruit_type_term,cône bacciforme,gymnosperm_fleshy_cone,french
fruit_type_term,cônes bacciformes,gymnosperm_fleshy_cone,french
fruit_type_term,galbule,gymnosperm_fleshy_cone,french
fruit_type_term,galbules,gymnosperm_fleshy_cone,french
fruit_type_term,gousse,legume,french
fruit_type_term,gousses,legume,french
fruit_type_term,loment,legume,french
fruit_type_term,loments,legume,french
fruit_type_term,noix,nut,french
fruit_type_term,noix ailée,nut,french
fruit_type_term,noix ailées,nut,french
fruit_type_term,nucule,nut,french
fruit_type_term,nucules,nut,french
fruit_type_term,nuculanium,pome,french
fruit_type_term,nuculaniums,pome,french
fruit_type_term,pomme,pome,french
fruit_type_term,pommes,pome,french
fruit_type_term,samare,samara,french
fruit_type_term,samare ailée,samara,french
fruit_type_term,samares,samara,french
fruit_type_term,samares ailées,samara,french
fruit_type_term,samaroïde,samara,french
fruit_type_term,samaroïdes,samara,french
fruit_type_term,camara,schizocarp,french
fruit_type_term,camaras,schizocarp,french
fruit_type_term,carcérule,schizocarp,french
fruit_type_term,carcérules,schizocarp,french
fruit_type_term,cocci,schizocarp,french
fruit_type_term,coccus,schizocarp,french
fruit_type_term,crémocarpe,schizocarp,french
fruit_type_term,crémocarpes,schizocarp,french
fruit_type_term,méricarpe,schizocarp,french
fruit_type_term,méricarpes,schizocarp,french
fruit_type_term,schizocarpe,schizocarp,french
fruit_type_term,schizocarpes,schizocarp,french
fruit_type_term,sycone,syconium,french
fruit_type_term,sycones,syconium,french
fruit_type_term,utricule,utricle,french
fruit_type_term,utricules,utricle,french
fruit_type_term,Achäne,achene,german
fruit_type_term,Achänen,achene,german
